R0,k,k_label,extinction_prob,establishment_n1
3.8922305764411025,0.05,0.05,0.895165472529295,0.10483452747070499
3.906766917293233,0.05,0.05,0.8949257023595723,0.10507429764042775
3.9213032581453633,0.05,0.05,0.894687007589618,0.10531299241038194
3.9358395989974935,0.05,0.05,0.8944493791588684,0.10555062084113165
3.950375939849624,0.05,0.05,0.8942128081180245,0.1057871918819755
3.9649122807017543,0.05,0.05,0.8939772856272652,0.1060227143727348
3.9794486215538845,0.05,0.05,0.8937428029544932,0.10625719704550685
3.993984962406015,0.05,0.05,0.8935093514736159,0.10649064852638412
4.008521303258145,0.05,0.05,0.8932769226628612,0.10672307733713882
4.023057644110275,0.05,0.05,0.8930455081031248,0.10695449189687523
4.037593984962406,0.05,0.05,0.8928150994763517,0.10718490052364826
4.052130325814536,0.05,0.05,0.8925856885639472,0.10741431143605285
4.066666666666666,0.05,0.05,0.8923572672452198,0.1076427327547802
4.081203007518797,0.05,0.05,0.8921298274958545,0.10787017250414555
4.095739348370927,0.05,0.05,0.8919033613864136,0.10809663861358643
4.110275689223057,0.05,0.05,0.8916778610808691,0.1083221389191309
4.124812030075188,0.05,0.05,0.8914533188351612,0.10854668116483879
4.139348370927318,0.05,0.05,0.8912297269957838,0.10877027300421616
4.153884711779448,0.05,0.05,0.8910070779983987,0.10899292200160127
4.168421052631579,0.05,0.05,0.8907853643664745,0.10921463563352551
4.182957393483709,0.05,0.05,0.890564578709951,0.10943542129004902
4.197493734335839,0.05,0.05,0.8903447137239311,0.10965528627606891
4.21203007518797,0.05,0.05,0.8901257621873926,0.10987423781260741
4.2265664160401,0.05,0.05,0.8899077169619289,0.11009228303807106
4.24110275689223,0.05,0.05,0.8896905709905099,0.11030942900949015
4.2556390977443606,0.05,0.05,0.8894743172962667,0.11052568270373331
4.270175438596491,0.05,0.05,0.889258948981299,0.11074105101870102
4.284711779448622,0.05,0.05,0.8890444592255036,0.11095554077449643
4.299248120300752,0.05,0.05,0.8888308412854258,0.11116915871457422
4.313784461152882,0.05,0.05,0.8886180884931303,0.11138191150686971
4.328320802005012,0.05,0.05,0.8884061942550927,0.11159380574490729
4.3428571428571425,0.05,0.05,0.888195152051112,0.11180484794888801
4.357393483709273,0.05,0.05,0.8879849554332426,0.11201504456675737
4.371929824561404,0.05,0.05,0.8877755980247442,0.11222440197525585
4.386466165413534,0.05,0.05,0.887567073519052,0.11243292648094805
4.401002506265664,0.05,0.05,0.8873593756787646,0.11264062432123545
4.415538847117794,0.05,0.05,0.8871524983346499,0.11284750166535007
4.4300751879699245,0.05,0.05,0.8869464353846697,0.11305356461533034
4.444611528822055,0.05,0.05,0.886741180793019,0.113258819206981
4.459147869674185,0.05,0.05,0.8865367285891852,0.1134632714108148
4.473684210526316,0.05,0.05,0.8863330728670218,0.11366692713297821
4.488220551378446,0.05,0.05,0.8861302077838389,0.11386979221616111
4.502756892230576,0.05,0.05,0.8859281275595103,0.11407187244048966
4.5172932330827065,0.05,0.05,0.8857268264755949,0.11427317352440514
4.531829573934837,0.05,0.05,0.8855262988744736,0.11447370112552635
4.546365914786967,0.05,0.05,0.8853265391585021,0.11467346084149788
4.560902255639098,0.05,0.05,0.8851275417891773,0.1148724582108227
4.575438596491228,0.05,0.05,0.884929301286318,0.11507069871368203
4.589974937343358,0.05,0.05,0.8847318122272596,0.1152681877727404
4.604511278195488,0.05,0.05,0.8845350692460641,0.11546493075393593
4.619047619047619,0.05,0.05,0.8843390670327405,0.11566093296725954
4.633583959899749,0.05,0.05,0.8841438003324811,0.11585619966751892
4.64812030075188,0.05,0.05,0.8839492639449096,0.11605073605509042
4.66265664160401,0.05,0.05,0.8837554527233418,0.11624454727665823
4.67719298245614,0.05,0.05,0.8835623615740584,0.11643763842594157
4.69172932330827,0.05,0.05,0.8833699854555916,0.11663001454440836
4.706265664160401,0.05,0.05,0.8831783193780212,0.11682168062197884
4.720802005012531,0.05,0.05,0.8829873584022832,0.11701264159771685
4.735338345864662,0.05,0.05,0.8827970976394919,0.11720290236050812
4.749874686716792,0.05,0.05,0.8826075322502704,0.11739246774972956
4.764411027568922,0.05,0.05,0.8824186574440926,0.11758134255590735
4.778947368421052,0.05,0.05,0.8822304684786382,0.11776953152136183
4.793483709273183,0.05,0.05,0.8820429606591549,0.11795703934084512
4.808020050125313,0.05,0.05,0.881856129337834,0.11814387066216603
4.822556390977444,0.05,0.05,0.881669969913194,0.11833003008680598
4.837092731829574,0.05,0.05,0.8814844778294761,0.11851552217052386
4.851629072681704,0.05,0.05,0.8812996485760474,0.11870035142395263
4.866165413533834,0.05,0.05,0.8811154776868144,0.11888452231318558
4.8807017543859645,0.05,0.05,0.8809319607396477,0.11906803926035225
4.895238095238095,0.05,0.05,0.8807490933558135,0.11925090664418647
4.909774436090226,0.05,0.05,0.8805668711994148,0.11943312880058521
4.924310776942356,0.05,0.05,0.8803852899768418,0.11961471002315816
4.938847117794486,0.05,0.05,0.8802043454362323,0.11979565456376773
4.953383458646616,0.05,0.05,0.8800240333669374,0.11997596663306265
4.9679197994987465,0.05,0.05,0.8798443495989985,0.12015565040100151
4.982456140350877,0.05,0.05,0.8796652900026316,0.1203347099973684
4.996992481203007,0.05,0.05,0.8794868504877198,0.1205131495122802
